# run: n=3, Nk=30, M-point grid (include_M=True), nv=nc=2, raw BSE, state=0
# TB: hoppings x0.70, eps_Bp=1.508, eps0(BSE)=2.80 ; Eg=2.1783 eV, Eb=183.0 meV
# model: W(k) = 2*pi*a0^2 / (1 + a0^2 k^2/4)^3 / (Nk^2 a^2)   [normalized, sum_k W=1]
# --- fit results ---
# a0_linear = 32.7038 A   a_BZ=a0/2 = 16.3519 A   r=sqrt(3/2)a_BZ = 20.0269 A
# a0_log    = 41.3537 A   a_BZ=a0/2 = 20.6768 A   r=sqrt(3/2)a_BZ = 25.3239 A
# a0_peak   = 32.5760 A  (from peak height W(M)=0.18666)
# a_BZ_moment = 17.6177 A   (direct second moment; r_Eq29=sqrt(3/2)a_BZ=21.5772 A)
# hydrogenicity invariant R = 0.8547  (=1 if true 2D 1s)
# --- columns ---
# abs_dk[1/A]    W_k(BSE)      W_fit_linear   W_fit_log
    0.329102   1.553227e-06   6.995593e-06   2.841554e-06
    0.329102   1.555805e-06   6.995593e-06   2.841554e-06
    0.329102   1.555805e-06   6.995593e-06   2.841554e-06
    0.329102   1.558453e-06   6.995593e-06   2.841554e-06
    0.332444   1.590185e-06   6.597400e-06   2.677842e-06
    0.332444   1.584680e-06   6.597400e-06   2.677842e-06
    0.332444   7.985966e-06   6.597400e-06   2.677842e-06
    0.332444   7.965680e-06   6.597400e-06   2.677842e-06
    0.332444   1.588240e-06   6.597400e-06   2.677842e-06
    0.332444   1.584680e-06   6.597400e-06   2.677842e-06
    0.332444   7.965680e-06   6.597400e-06   2.677842e-06
    0.332444   1.590185e-06   6.597400e-06   2.677842e-06
    0.332444   1.588240e-06   6.597400e-06   2.677842e-06
    0.332444   7.985966e-06   6.597400e-06   2.677842e-06
    0.332444   1.586558e-06   6.597400e-06   2.677842e-06
    0.332444   1.586558e-06   6.597400e-06   2.677842e-06
    0.334102   7.058053e-06   6.409601e-06   2.600688e-06
    0.334102   7.038957e-06   6.409601e-06   2.600688e-06
    0.334102   7.039529e-06   6.409601e-06   2.600688e-06
    0.334102   7.058053e-06   6.409601e-06   2.600688e-06
    0.334102   7.038957e-06   6.409601e-06   2.600688e-06
    0.334102   7.039529e-06   6.409601e-06   2.600688e-06
    0.334102   7.057451e-06   6.409601e-06   2.600688e-06
    0.334102   7.057451e-06   6.409601e-06   2.600688e-06
    0.339027   5.051013e-06   5.887271e-06   2.386294e-06
    0.339027   5.036521e-06   5.887271e-06   2.386294e-06
    0.339027   5.036521e-06   5.887271e-06   2.386294e-06
    0.339027   5.051013e-06   5.887271e-06   2.386294e-06
    0.339027   5.037455e-06   5.887271e-06   2.386294e-06
    0.339027   5.051996e-06   5.887271e-06   2.386294e-06
    0.339027   5.051996e-06   5.887271e-06   2.386294e-06
    0.339027   5.037455e-06   5.887271e-06   2.386294e-06
    0.342272   1.689700e-06   5.570207e-06   2.256300e-06
    0.342272   1.694701e-06   5.570207e-06   2.256300e-06
    0.342272   1.694701e-06   5.570207e-06   2.256300e-06
    0.342272   1.689700e-06   5.570207e-06   2.256300e-06
    0.342272   1.696152e-06   5.570207e-06   2.256300e-06
    0.342272   1.691088e-06   5.570207e-06   2.256300e-06
    0.342272   1.696152e-06   5.570207e-06   2.256300e-06
    0.342272   1.691088e-06   5.570207e-06   2.256300e-06
    0.347081   3.158439e-06   5.135932e-06   2.078438e-06
    0.347081   3.168916e-06   5.135932e-06   2.078438e-06
    0.347081   3.157386e-06   5.135932e-06   2.078438e-06
    0.347081   3.168916e-06   5.135932e-06   2.078438e-06
    0.347081   3.167807e-06   5.135932e-06   2.078438e-06
    0.347081   3.157386e-06   5.135932e-06   2.078438e-06
    0.347081   3.158439e-06   5.135932e-06   2.078438e-06
    0.347081   3.167807e-06   5.135932e-06   2.078438e-06
    0.353392   9.613202e-07   4.624373e-06   1.869218e-06
    0.353392   9.613202e-07   4.624373e-06   1.869218e-06
    0.353392   9.588745e-07   4.624373e-06   1.869218e-06
    0.353392   9.631478e-07   4.624373e-06   1.869218e-06
    0.353392   9.631478e-07   4.624373e-06   1.869218e-06
    0.353392   9.588745e-07   4.624373e-06   1.869218e-06
    0.353392   9.606431e-07   4.624373e-06   1.869218e-06
    0.353392   9.606431e-07   4.624373e-06   1.869218e-06
    0.358053   1.875750e-06   4.284443e-06   1.730378e-06
    0.358053   1.869540e-06   4.284443e-06   1.730378e-06
    0.358053   1.869540e-06   4.284443e-06   1.730378e-06
    0.358053   1.875750e-06   4.284443e-06   1.730378e-06
    0.358053   1.876842e-06   4.284443e-06   1.730378e-06
    0.358053   1.868504e-06   4.284443e-06   1.730378e-06
    0.358053   1.876842e-06   4.284443e-06   1.730378e-06
    0.358053   1.868504e-06   4.284443e-06   1.730378e-06
    0.359593   1.005417e-06   4.178558e-06   1.687162e-06
    0.359593   1.005417e-06   4.178558e-06   1.687162e-06
    0.359593   1.001977e-06   4.178558e-06   1.687162e-06
    0.359593   1.003277e-06   4.178558e-06   1.687162e-06
    0.359593   1.003277e-06   4.178558e-06   1.687162e-06
    0.359593   1.006773e-06   4.178558e-06   1.687162e-06
    0.359593   1.006773e-06   4.178558e-06   1.687162e-06
    0.359593   1.001977e-06   4.178558e-06   1.687162e-06
    0.365688   5.068803e-06   3.788255e-06   1.528001e-06
    0.365688   5.068803e-06   3.788255e-06   1.528001e-06
    0.365688   5.048744e-06   3.788255e-06   1.528001e-06
    0.365688   5.048744e-06   3.788255e-06   1.528001e-06
    0.367196   4.488745e-06   3.698336e-06   1.491365e-06
    0.367196   4.488345e-06   3.698336e-06   1.491365e-06
    0.367196   4.507196e-06   3.698336e-06   1.491365e-06
    0.367196   4.488345e-06   3.698336e-06   1.491365e-06
    0.367196   4.507196e-06   3.698336e-06   1.491365e-06
    0.367196   4.506772e-06   3.698336e-06   1.491365e-06
    0.367196   4.488745e-06   3.698336e-06   1.491365e-06
    0.367196   4.506772e-06   3.698336e-06   1.491365e-06
    0.371683   1.099868e-06   3.445085e-06   1.388247e-06
    0.371683   1.104877e-06   3.445085e-06   1.388247e-06
    0.371683   3.276075e-06   3.445085e-06   1.388247e-06
    0.371683   3.275375e-06   3.445085e-06   1.388247e-06
