# |k-kM|_invAngstrom    Wk_weight
5.532965e-01 5.968799e-08
5.256396e-01 7.511281e-08
4.986655e-01 9.829167e-08
4.724912e-01 1.328917e-07
4.472572e-01 1.853869e-07
4.231317e-01 2.671175e-07
4.003152e-01 3.984245e-07
3.790441e-01 6.174302e-07
3.595928e-01 9.981974e-07
3.422717e-01 1.682919e-06
3.274190e-01 2.921266e-06
3.153838e-01 5.058850e-06
3.064979e-01 8.274924e-06
3.010405e-01 1.180296e-05
2.991993e-01 1.346521e-05
3.010405e-01 1.180210e-05
3.064979e-01 8.273554e-06
3.153838e-01 5.057332e-06
3.274190e-01 2.919791e-06
3.422717e-01 1.681539e-06
3.595928e-01 9.969024e-07
3.790441e-01 6.161903e-07
4.003152e-01 3.972083e-07
4.231317e-01 2.658941e-07
4.472572e-01 1.841209e-07
4.724912e-01 1.315341e-07
4.986655e-01 9.676522e-08
5.256396e-01 7.327015e-08
5.532965e-01 5.713537e-08
5.993213e-01 3.561116e-08
5.719577e-01 4.264955e-08
5.452482e-01 5.357741e-08
5.192936e-01 6.981741e-08
4.942130e-01 9.380885e-08
4.701463e-01 1.297808e-07
4.472572e-01 1.850149e-07
4.257356e-01 2.724350e-07
4.057992e-01 4.160845e-07
3.876926e-01 6.619051e-07
3.716833e-01 1.095458e-06
3.580528e-01 1.860700e-06
3.470814e-01 3.144127e-06
3.390273e-01 5.015527e-06
3.341018e-01 7.009755e-06
3.324437e-01 7.932341e-06
3.341018e-01 7.009188e-06
3.390273e-01 5.014601e-06
3.470814e-01 3.143082e-06
3.580528e-01 1.859670e-06
3.716833e-01 1.094483e-06
3.876926e-01 6.609812e-07
4.057992e-01 4.151919e-07
4.257356e-01 2.715522e-07
4.472572e-01 1.841209e-07
4.701463e-01 1.288518e-07
4.942130e-01 9.281146e-08
5.192936e-01 6.869691e-08
5.452482e-01 5.222721e-08
5.719577e-01 4.078249e-08
6.183810e-01 2.625422e-08
5.918991e-01 3.139417e-08
5.661312e-01 3.929265e-08
5.411791e-01 5.095160e-08
5.171610e-01 6.805966e-08
4.942130e-01 9.350303e-08
4.724912e-01 1.321984e-07
4.521723e-01 1.928278e-07
4.334535e-01 2.914459e-07
4.165507e-01 4.582588e-07
4.016932e-01 7.481178e-07
3.891153e-01 1.250195e-06
3.790441e-01 2.073767e-06
3.716833e-01 3.246164e-06
3.671960e-01 4.468231e-06
3.656880e-01 5.025822e-06
3.671960e-01 4.467833e-06
3.716833e-01 3.245507e-06
3.790441e-01 2.073017e-06
3.891153e-01 1.249449e-06
4.016932e-01 7.474062e-07
4.165507e-01 4.575805e-07
4.334535e-01 2.907876e-07
4.521723e-01 1.921740e-07
4.724912e-01 1.315341e-07
4.942130e-01 9.281146e-08
5.171610e-01 6.731676e-08
5.411791e-01 5.011678e-08
5.661312e-01 3.828486e-08
5.918991e-01 2.999358e-08
6.386034e-01 1.997912e-08
6.129958e-01 2.377725e-08
5.881529e-01 2.959148e-08
5.641756e-01 3.815300e-08
5.411791e-01 5.067630e-08
5.192936e-01 6.921847e-08
4.986655e-01 9.726655e-08
4.794571e-01 1.409693e-07
4.618455e-01 2.116478e-07
4.460200e-01 3.303486e-07
4.321768e-01 5.345795e-07
4.205117e-01 8.837635e-07
4.112101e-01 1.447604e-06
4.044352e-01 2.236543e-06
4.003152e-01 3.045887e-06
3.989324e-01 3.411480e-06
4.003152e-01 3.045594e-06
4.044352e-01 2.236056e-06
4.112101e-01 1.447045e-06
4.205117e-01 8.832037e-07
4.321768e-01 5.340443e-07
4.460200e-01 3.298376e-07
4.618455e-01 2.111513e-07
4.794571e-01 1.404760e-07
4.986655e-01 9.676522e-08
5.192936e-01 6.869691e-08
5.411791e-01 5.011678e-08
5.641756e-01 3.752458e-08
5.881529e-01 2.883044e-08
6.129958e-01 2.270798e-08
6.598818e-01 1.569514e-08
6.351327e-01 1.852456e-08
6.111902e-01 2.287818e-08
5.881529e-01 2.930459e-08
5.661312e-01 3.870912e-08
5.452482e-01 5.262467e-08
5.256396e-01 7.365377e-08
5.074532e-01 1.063963e-07
4.908472e-01 1.593099e-07
4.759869e-01 2.480109e-07
4.630404e-01 4.000217e-07
4.521723e-01 6.582541e-07
4.435352e-01 1.071596e-06
4.372614e-01 1.643998e-06
4.334535e-01 2.225355e-06
4.321768e-01 2.486278e-06
4.334535e-01 2.225129e-06
4.372614e-01 1.643622e-06
4.435352e-01 1.071163e-06
4.521723e-01 6.578203e-07
4.630404e-01 3.996075e-07
4.759869e-01 2.476164e-07
4.908472e-01 1.589276e-07
5.074532e-01 1.060175e-07
5.256396e-01 7.327015e-08
5.452482e-01 5.222721e-08
5.661312e-01 3.828486e-08
5.881529e-01 2.883044e-08
