# energy_eV    eps2_arb    eps2_normalised
1.824020e+00 8.069559e-01 5.596020e-03
1.825271e+00 8.158542e-01 5.657727e-03
1.826522e+00 8.249325e-01 5.720683e-03
1.827773e+00 8.341962e-01 5.784924e-03
1.829024e+00 8.436505e-01 5.850487e-03
1.830275e+00 8.533011e-01 5.917411e-03
1.831526e+00 8.631537e-01 5.985736e-03
1.832777e+00 8.732145e-01 6.055505e-03
1.834028e+00 8.834895e-01 6.126759e-03
1.835279e+00 8.939853e-01 6.199545e-03
1.836530e+00 9.047087e-01 6.273909e-03
1.837781e+00 9.156666e-01 6.349899e-03
1.839033e+00 9.268663e-01 6.427566e-03
1.840284e+00 9.383154e-01 6.506962e-03
1.841535e+00 9.500218e-01 6.588143e-03
1.842786e+00 9.619935e-01 6.671163e-03
1.844037e+00 9.742392e-01 6.756084e-03
1.845288e+00 9.867676e-01 6.842965e-03
1.846539e+00 9.995881e-01 6.931872e-03
1.847790e+00 1.012710e+00 7.022870e-03
1.849041e+00 1.026144e+00 7.116029e-03
1.850292e+00 1.039900e+00 7.211422e-03
1.851543e+00 1.053989e+00 7.309125e-03
1.852794e+00 1.068422e+00 7.409215e-03
1.854045e+00 1.083211e+00 7.511775e-03
1.855296e+00 1.098369e+00 7.616891e-03
1.856547e+00 1.113908e+00 7.724652e-03
1.857798e+00 1.129843e+00 7.835153e-03
1.859049e+00 1.146186e+00 7.948490e-03
1.860300e+00 1.162954e+00 8.064767e-03
1.861551e+00 1.180160e+00 8.184089e-03
1.862802e+00 1.197822e+00 8.306570e-03
1.864053e+00 1.215956e+00 8.432326e-03
1.865304e+00 1.234580e+00 8.561480e-03
1.866555e+00 1.253713e+00 8.694160e-03
1.867807e+00 1.273374e+00 8.830502e-03
1.869058e+00 1.293583e+00 8.970646e-03
1.870309e+00 1.314362e+00 9.114741e-03
1.871560e+00 1.335733e+00 9.262943e-03
1.872811e+00 1.357719e+00 9.415414e-03
1.874062e+00 1.380346e+00 9.572327e-03
1.875313e+00 1.403640e+00 9.733861e-03
1.876564e+00 1.427627e+00 9.900208e-03
1.877815e+00 1.452337e+00 1.007157e-02
1.879066e+00 1.477801e+00 1.024814e-02
1.880317e+00 1.504048e+00 1.043017e-02
1.881568e+00 1.531115e+00 1.061787e-02
1.882819e+00 1.559035e+00 1.081149e-02
1.884070e+00 1.587847e+00 1.101129e-02
1.885321e+00 1.617590e+00 1.121755e-02
1.886572e+00 1.648306e+00 1.143055e-02
1.887823e+00 1.680038e+00 1.165061e-02
1.889074e+00 1.712834e+00 1.187803e-02
1.890325e+00 1.746742e+00 1.211318e-02
1.891576e+00 1.781816e+00 1.235641e-02
1.892827e+00 1.818110e+00 1.260810e-02
1.894078e+00 1.855683e+00 1.286866e-02
1.895329e+00 1.894598e+00 1.313852e-02
1.896580e+00 1.934920e+00 1.341815e-02
1.897832e+00 1.976721e+00 1.370802e-02
1.899083e+00 2.020074e+00 1.400866e-02
1.900334e+00 2.065059e+00 1.432062e-02
1.901585e+00 2.111761e+00 1.464449e-02
1.902836e+00 2.160271e+00 1.498089e-02
1.904087e+00 2.210684e+00 1.533049e-02
1.905338e+00 2.263103e+00 1.569400e-02
1.906589e+00 2.317638e+00 1.607219e-02
1.907840e+00 2.374407e+00 1.646586e-02
1.909091e+00 2.433534e+00 1.687590e-02
1.910342e+00 2.495155e+00 1.730322e-02
1.911593e+00 2.559414e+00 1.774884e-02
1.912844e+00 2.626466e+00 1.821383e-02
1.914095e+00 2.696477e+00 1.869933e-02
